source,family,level,estimate_percent
SICdb,plausible_range,20-200,15.03449705988768
SICdb,plausible_range,30-160,14.543092658104706
SICdb,plausible_range,40-130,14.305384159736603
SICdb,minimum_pairs,3,15.03449705988768
SICdb,minimum_pairs,5,15.662010562845232
SICdb,minimum_pairs,10,15.560369884638991
SICdb,time_window_minutes,0-360,14.105916875993554
SICdb,time_window_minutes,0-1440,15.03449705988768
SICdb,hypotension_threshold,60,12.36612577014274
SICdb,hypotension_threshold,65,15.03449705988768
SICdb,hypotension_threshold,70,16.453549427219944
SICdb,large_difference_cutoff,5,21.428881439254106
SICdb,large_difference_cutoff,10,15.03449705988768
SICdb,large_difference_cutoff,15,10.05556993565514
MIMIC-IV,plausible_range,20-200,13.20241478534691
MIMIC-IV,plausible_range,30-160,12.925131934650775
MIMIC-IV,plausible_range,40-130,12.711910880806146
MIMIC-IV,minimum_pairs,3,13.20241478534691
MIMIC-IV,minimum_pairs,5,13.12166385050259
MIMIC-IV,minimum_pairs,10,12.389668833178478
MIMIC-IV,time_window_minutes,0-360,12.647461543887099
MIMIC-IV,time_window_minutes,0-1440,13.20241478534691
MIMIC-IV,hypotension_threshold,60,8.919098516527345
MIMIC-IV,hypotension_threshold,65,13.20241478534691
MIMIC-IV,hypotension_threshold,70,16.519752354788356
MIMIC-IV,large_difference_cutoff,5,19.178575350651638
MIMIC-IV,large_difference_cutoff,10,13.20241478534691
MIMIC-IV,large_difference_cutoff,15,8.0459168782279
eICU,plausible_range,20-200,13.340164267159004
eICU,plausible_range,30-160,13.109764039391756
eICU,plausible_range,40-130,12.855645740558824
eICU,minimum_pairs,3,13.340164267159004
eICU,minimum_pairs,5,12.218237897527354
eICU,minimum_pairs,10,11.341603847500654
eICU,time_window_minutes,0-360,11.831927169894337
eICU,time_window_minutes,0-1440,13.340164267159004
eICU,hypotension_threshold,60,9.586796267117895
eICU,hypotension_threshold,65,13.340164267159004
eICU,hypotension_threshold,70,16.34669286663496
eICU,large_difference_cutoff,5,17.895342961870803
eICU,large_difference_cutoff,10,13.340164267159004
eICU,large_difference_cutoff,15,8.82876376470358
