source,model,policy,people,deaths,risk_difference_percentage_points,ci_low,ci_high
SICdb,age_sex,Concordant only,1118,103,1.537577843382026,0.48861631309834797,2.5052254825655913
SICdb,age_sex,Any sensor,1208,111,0.7090433842913028,0.2240877633641435,1.132658342442263
SICdb,age_sex,Cuff only,1208,111,1.1623469850063703,0.4994504160700764,1.7594644366303818
SICdb,age_sex,Arterial only,1208,111,0.5469134991513757,-0.11625787132272711,1.1755281969312317
MIMIC-IV,age_sex,Concordant only,3404,433,0.8747387237936497,-0.17594702716516156,1.8665900519638436
MIMIC-IV,age_sex,Any sensor,3782,483,0.6271760133775249,0.17874265087942343,1.0619866510568783
MIMIC-IV,age_sex,Cuff only,3782,483,1.0146140763697091,0.49316984998166397,1.497917738592013
MIMIC-IV,age_sex,Arterial only,3782,483,1.1019211092983245,0.3608160200164469,1.831045839280655
eICU,age_sex,Concordant only,6741,973,1.2726236874134491,0.23013106680464818,2.304743590983435
eICU,age_sex,Any sensor,7292,1071,1.220402136630871,0.8268713979829768,1.6031532419583403
eICU,age_sex,Cuff only,7292,1071,1.2081971814289363,0.6353489034287954,1.8056624713500737
eICU,age_sex,Arterial only,7292,1071,1.8293938623108754,1.1974256912380816,2.40044568199934
SICdb,age_sex_severity,Concordant only,1118,103,1.0346005989247935,0.2176847285940361,1.8587606567843424
SICdb,age_sex_severity,Any sensor,1208,111,0.42755578874681094,0.004464350087046936,0.7836740250186401
SICdb,age_sex_severity,Cuff only,1208,111,0.7445582402994516,0.20805596154143832,1.2787589820946326
SICdb,age_sex_severity,Arterial only,1208,111,0.15274448296580853,-0.49302991288042936,0.6577398495341815
MIMIC-IV,age_sex_severity,Concordant only,3404,433,-0.07101687967325994,-0.9887819383361265,0.8244097237256516
MIMIC-IV,age_sex_severity,Any sensor,3782,483,-0.15477413386387578,-0.569082437204295,0.22106697049001262
MIMIC-IV,age_sex_severity,Cuff only,3782,483,0.12835733818335845,-0.3295631939287814,0.5903047583021537
MIMIC-IV,age_sex_severity,Arterial only,3782,483,-0.13135650830989745,-0.8221441905335275,0.484633243891466
eICU,age_sex_severity,Concordant only,5990,872,-0.37447719807476826,-1.2822426434035024,0.5542854134172143
eICU,age_sex_severity,Any sensor,6490,961,-0.06387554644089531,-0.4572758197650564,0.3060009156862537
eICU,age_sex_severity,Cuff only,6490,961,0.06625258718669257,-0.4799917186216751,0.589339899086579
eICU,age_sex_severity,Arterial only,6490,961,-0.22093937826929208,-0.7363889323547168,0.3047341620580587
