source,estimand,independent_people,pairs,estimate,ci_low,ci_high
SICdb,ccd_fraction,1510,30087,0.1503449705988768,0.14005626456714373,0.16064217736141204
SICdb,threshold_discordant_fraction,1510,30087,0.2406811859289229,0.22781280351883332,0.2524311107132623
SICdb,large_discordance_fraction,1510,30087,0.38289846576394443,0.3674930716795505,0.39815058426317607
SICdb,ccd_cuff_low_fraction,1510,30087,0.08137411681135055,0.07309085303944399,0.09000524840659362
SICdb,ccd_arterial_low_fraction,1510,30087,0.06897085378752625,0.061750481309550215,0.07623517261243358
SICdb,review_fraction,1510,30087,0.4732346810939904,0.45745080897548135,0.4879010210441816
SICdb,pair_weighted_ccd_fraction,1510,30087,0.15747665104530195,NaN,NaN
MIMIC-IV,ccd_fraction,4171,33855,0.1320241478534691,0.12619009295498093,0.13818598043687835
MIMIC-IV,threshold_discordant_fraction,4171,33855,0.21478991600371466,0.20791264533480255,0.22239484123635114
MIMIC-IV,large_discordance_fraction,4171,33855,0.40154723398514613,0.39223452267910475,0.41101847015566656
MIMIC-IV,ccd_cuff_low_fraction,4171,33855,0.09638021774279307,0.0910753983354193,0.10172332460351502
MIMIC-IV,ccd_arterial_low_fraction,4171,33855,0.03564393011067604,0.03237052058006812,0.03882542119069527
MIMIC-IV,review_fraction,4171,33855,0.48431300213539175,0.4755725102040307,0.49333559384201925
MIMIC-IV,pair_weighted_ccd_fraction,4171,33855,0.130202333481022,NaN,NaN
eICU,ccd_fraction,9017,171016,0.13340164267159005,0.12952071825649486,0.13746222275031328
eICU,threshold_discordant_fraction,9017,171016,0.19636971170278913,0.19175047796704722,0.20114726550730647
eICU,large_discordance_fraction,9017,171016,0.42476911770048376,0.41875586912802026,0.4308473477336151
eICU,ccd_cuff_low_fraction,9017,171016,0.06926300753466383,0.06626487425194079,0.07227265651638018
eICU,ccd_arterial_low_fraction,9017,171016,0.06413863513692622,0.06106128571633924,0.06748668788803319
eICU,review_fraction,9017,171016,0.4877371867316828,0.4818612622505065,0.49345615166970136
eICU,pair_weighted_ccd_fraction,9017,171016,0.12069630911727558,NaN,NaN
