source,family,level,people,pairs,estimate,ci_low,ci_high,pair_weighted
sicdb,plausible_range,20-200,1510,30087,0.1503449705988768,0.14005626456714373,0.16064217736141204,0.15747665104530195
sicdb,plausible_range,30-160,1488,29408,0.14543092658104706,0.13565090267219576,0.155867485696134,0.15169341675734493
sicdb,plausible_range,40-130,1459,28261,0.14305384159736603,0.13246264520036982,0.15373514635915428,0.15141007041505963
sicdb,minimum_pairs,3,1510,30087,0.1503449705988768,0.14005626456714373,0.16064217736141204,0.15747665104530195
sicdb,minimum_pairs,5,1126,28745,0.15662010562845233,0.14552674846210134,0.1681128805623997,0.15856670725343538
sicdb,minimum_pairs,10,698,25874,0.15560369884638992,0.14270258074600511,0.16952999097693036,0.15846023034706655
sicdb,time_window_minutes,0-360,716,9343,0.14105916875993554,0.1256329562547193,0.15690933202185076,0.1471690035320561
sicdb,time_window_minutes,0-1440,1510,30087,0.1503449705988768,0.14005626456714373,0.16064217736141204,0.15747665104530195
sicdb,hypotension_threshold,60,1510,30087,0.1236612577014274,0.11415337411311512,0.1327173241090057,0.12460531126400107
sicdb,hypotension_threshold,65,1510,30087,0.1503449705988768,0.14005626456714373,0.16064217736141204,0.15747665104530195
sicdb,hypotension_threshold,70,1510,30087,0.16453549427219943,0.15372333613262035,0.1750828755402957,0.17529165420281184
sicdb,large_difference_cutoff,5,1510,30087,0.21428881439254105,0.2017553958819614,0.2255116588377334,0.2195300295808821
sicdb,large_difference_cutoff,10,1510,30087,0.1503449705988768,0.14005626456714373,0.16064217736141204,0.15747665104530195
sicdb,large_difference_cutoff,15,1510,30087,0.1005556993565514,0.09188534979506309,0.10930163139793568,0.10094060557715957
mimic_iv,plausible_range,20-200,4171,33855,0.1320241478534691,0.12619009295498093,0.13818598043687835,0.130202333481022
mimic_iv,plausible_range,30-160,4153,33661,0.12925131934650774,0.12278648009583229,0.13501402621730477,0.12816018537773685
mimic_iv,plausible_range,40-130,4106,33102,0.12711910880806146,0.12108881618480578,0.13319092808020988,0.1267295027490786
mimic_iv,minimum_pairs,3,4171,33855,0.1320241478534691,0.12619009295498093,0.13818598043687835,0.130202333481022
mimic_iv,minimum_pairs,5,2816,29217,0.1312166385050259,0.12466490803696165,0.13767197256588157,0.12971899921278707
mimic_iv,minimum_pairs,10,1285,19129,0.12389668833178479,0.11455423909397618,0.1330034768444555,0.12572533849129594
mimic_iv,time_window_minutes,0-360,1254,5774,0.12647461543887098,0.11481894969456537,0.13840237685021142,0.12850710079667474
mimic_iv,time_window_minutes,0-1440,4171,33855,0.1320241478534691,0.12619009295498093,0.13818598043687835,0.130202333481022
mimic_iv,hypotension_threshold,60,4171,33855,0.08919098516527346,0.08409949667354122,0.09448163247484441,0.08619110914192882
mimic_iv,hypotension_threshold,65,4171,33855,0.1320241478534691,0.12619009295498093,0.13818598043687835,0.130202333481022
mimic_iv,hypotension_threshold,70,4171,33855,0.16519752354788356,0.1587840089121137,0.17175765392714867,0.1652931620144735
mimic_iv,large_difference_cutoff,5,4171,33855,0.1917857535065164,0.1853208302578121,0.19904404867321018,0.18904150051691035
mimic_iv,large_difference_cutoff,10,4171,33855,0.1320241478534691,0.12619009295498093,0.13818598043687835,0.130202333481022
mimic_iv,large_difference_cutoff,15,4171,33855,0.08045916878227899,0.07571254681096037,0.08535464347328649,0.07768424161866785
eicu,plausible_range,20-200,9017,171016,0.13340164267159005,0.12952071825649486,0.13746222275031328,0.12069630911727558
eicu,plausible_range,30-160,8941,169817,0.13109764039391755,0.12704149959976116,0.13521334043665273,0.11949922563700925
eicu,plausible_range,40-130,8768,166639,0.12855645740558824,0.12457003659018277,0.13265321145281433,0.11781155671841526
eicu,minimum_pairs,3,9017,171016,0.13340164267159005,0.12952071825649486,0.13746222275031328,0.12069630911727558
eicu,minimum_pairs,5,6711,163285,0.12218237897527354,0.11785881205253683,0.12637948637009555,0.1185289524451113
eicu,minimum_pairs,10,4869,151101,0.11341603847500653,0.10893313374089626,0.11800550400679738,0.11652470863859272
eicu,time_window_minutes,0-360,5073,52204,0.11831927169894338,0.1126316375295331,0.12391095473087402,0.11466554287027814
eicu,time_window_minutes,0-1440,9017,171016,0.13340164267159005,0.12952071825649486,0.13746222275031328,0.12069630911727558
eicu,hypotension_threshold,60,9017,171016,0.09586796267117895,0.0922030007530088,0.09960535439994064,0.08038429152827806
eicu,hypotension_threshold,65,9017,171016,0.13340164267159005,0.12952071825649486,0.13746222275031328,0.12069630911727558
eicu,hypotension_threshold,70,9017,171016,0.1634669286663496,0.15912324443154066,0.16758794744776573,0.1563128596154746
eicu,large_difference_cutoff,5,9017,171016,0.17895342961870803,0.17452079437948148,0.1834524985348977,0.1667270898629368
eicu,large_difference_cutoff,10,9017,171016,0.13340164267159005,0.12952071825649486,0.13746222275031328,0.12069630911727558
eicu,large_difference_cutoff,15,9017,171016,0.08828763764703582,0.0850116868529769,0.09172088066454814,0.07668873087898208
