source,family,level,reference,people,estimate,ci_low,ci_high,contrast_vs_reference,contrast_ci_low,contrast_ci_high,p_value,bh_q_value
sicdb,age_group,18-44,65-79,70,0.11933927501491749,0.07545488393081877,0.17311110065939753,-0.030520279308498474,-0.07684849175724473,0.02361261555008584,0.241,0.2945555555555555
sicdb,age_group,45-64,65-79,388,0.13718398198684661,0.11699692320727345,0.1572904775532415,-0.012675572336569352,-0.03949630470504864,0.011209397297484013,0.333,0.3663
sicdb,age_group,65-79,65-79,653,0.14985955432341597,0.13598957112709067,0.16555009058120426,0.0,0.0,0.0,,
sicdb,age_group,>=80,65-79,399,0.1693771487949189,0.14842560693000173,0.1911491184357836,0.019517594471502947,-0.006652271649591115,0.045297982991853655,0.164,0.2765714285714286
sicdb,sex_group,Female,Female,715,0.17303866500233042,0.15678528576961998,0.18988014983787138,0.0,0.0,0.0,,
sicdb,sex_group,Male,Female,795,0.1299349183995443,0.11680513403880238,0.14273316706147926,-0.043103746602786125,-0.06368876775130784,-0.022898367017995802,0.0,0.0
sicdb,time_group,0-<6 h,6-24 h,814,0.14382298742361607,0.12828974243461763,0.1608090839898959,-0.01253140767604008,-0.03172523745510836,0.007579631463675599,0.214,0.29425
sicdb,time_group,6-24 h,6-24 h,1076,0.15635439509965615,0.14346423615755544,0.16968643709070833,0.0,0.0,0.0,,
sicdb,saps3_quartile,Q1,Q1,392,0.12685231664480404,0.10808512935483887,0.14626292648175607,0.0,0.0,0.0,,
sicdb,saps3_quartile,Q2,Q1,363,0.1522648716839966,0.13168837875897554,0.17416321176867644,0.02541255503919257,-0.003099138220301393,0.053681176108154975,0.075,0.16499999999999998
sicdb,saps3_quartile,Q3,Q1,395,0.15277447464613417,0.1336464088296748,0.17183143711767873,0.02592215800133013,-0.0010852284175428952,0.05358878969974338,0.067,0.16499999999999998
sicdb,saps3_quartile,Q4,Q1,360,0.1713242543695195,0.1481333683978337,0.19421559634268218,0.04447193772471547,0.014426648435885623,0.0758944022517049,0.003,0.0165
sicdb,sepsis_group,No,No,1451,0.15110445783605994,0.1407388395315126,0.16121871221530373,0.0,0.0,0.0,,
sicdb,sepsis_group,Yes,No,59,0.13166673363018647,0.08816415640150436,0.182525170782263,-0.019437724205873474,-0.06469763754986754,0.032497549869832415,0.426,0.426
sicdb,urgency_group,Elective,Elective,513,0.1336025757789457,0.11826154557005139,0.14987143735979197,0.0,0.0,0.0,,
sicdb,urgency_group,Urgent,Elective,448,0.16985579586067187,0.1492513120802305,0.19168525993895122,0.036253220081726184,0.010165179413035937,0.061708429892187694,0.005,0.018333333333333333
sicdb,urgency_group,Unknown,Elective,549,0.15006810142827656,0.13289559551480806,0.16837304117299498,0.016465525649330875,-0.006597653073934272,0.03972007176726128,0.176,0.2765714285714286
mimic_iv,age_group,18-44,65-79,403,0.1111242573033382,0.09313385949035932,0.1289957479308483,-0.030355647733382438,-0.051125319136938185,-0.009788412957864782,0.003,0.005
mimic_iv,age_group,45-64,65-79,1506,0.11191908468364839,0.10252145984594056,0.12135993873339262,-0.029560820353072254,-0.04360943527631994,-0.015461058130748278,0.0,0.0
mimic_iv,age_group,65-79,65-79,1521,0.14147990503672064,0.1308972529763162,0.1516933530313078,0.0,0.0,0.0,,
mimic_iv,age_group,>=80,65-79,741,0.16484287167226414,0.15060835647920037,0.18076655724462443,0.02336296663554349,0.005243248359568285,0.04215063506735132,0.006,0.0075
mimic_iv,sex_group,Female,Female,1746,0.16452835430275128,0.15472299214703958,0.1746207866865714,0.0,0.0,0.0,,
mimic_iv,sex_group,Male,Female,2425,0.10862111920998593,0.10180881333797033,0.11598295278527766,-0.05590723509276535,-0.06860692320480621,-0.043766028180278874,0.0,0.0
mimic_iv,time_group,0-<6 h,6-24 h,1978,0.13119270361999202,0.12013314536823254,0.14233875520047945,-0.0028724206973705646,-0.014532682373853587,0.009472290973549893,0.673,0.673
mimic_iv,time_group,6-24 h,6-24 h,3810,0.1340651243173626,0.12729095568553564,0.14112921689101002,0.0,0.0,0.0,,
eicu,age_group,18-44,65-79,847,0.11825784518098702,0.10546154630083873,0.13139883116511694,-0.026746485762760577,-0.0410946474511401,-0.012003907606795837,0.0,0.0
eicu,age_group,45-64,65-79,3142,0.11091970136437235,0.1044201886595184,0.11754288578493112,-0.03408462957937525,-0.04382068953208161,-0.0248333135320951,0.0,0.0
eicu,age_group,65-79,65-79,3607,0.1450043309437476,0.13843285449308573,0.1520334804013761,0.0,0.0,0.0,,
eicu,age_group,>=80,65-79,1421,0.16268676544720337,0.1525388506584343,0.17302294229376597,0.017682434503455774,0.004649037635150952,0.029998654534954157,0.006,0.009000000000000001
eicu,sex_group,Female,Female,3749,0.16088352025421732,0.15441206321795703,0.16727916341637394,0.0,0.0,0.0,,
eicu,sex_group,Male,Female,5266,0.11383978247942778,0.1091486106338908,0.1188671791401833,-0.04704373777478954,-0.0548698526162614,-0.03883966536245241,0.0,0.0
eicu,sex_group,Unknown,Female,2,0.125,0.0,0.25,-0.035883520254217316,-0.16515429759830555,0.09351820606732422,0.518,0.518
eicu,time_group,0-<6 h,6-24 h,6752,0.12510682250608657,0.11931416039977621,0.13073175508644597,-0.008866033608830898,-0.01536697676220605,-0.00243135778335069,0.008,0.009600000000000001
eicu,time_group,6-24 h,6-24 h,8094,0.13397285611491747,0.1292053741182026,0.13897003708477684,0.0,0.0,0.0,,
